No,;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
98;5.000.416;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=828 Ack=79620 Win=3088 Len=0;;;5,000416;5,000846;0,00043;;0,00043;0;-0,00043
99;5.000.846;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.2;1486;Application Data [TCP segment of a reassembled PDU];;;5,000846;5,000846;0;;0;0;0
100;5.000.846;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=81032 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,000846;5,000846;0;;0;0;0
101;5.000.846;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=82444 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,000846;5,000846;0;;-2,7E-05;2,7E-05;5,4E-05
102;5.000.846;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=83856 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,000846;5,000873;2,7E-05;;-0,00016;0,000187;0,000347
103;5.000.873;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=828 Ack=85268 Win=3088 Len=0;;;5,000873;5,00106;0,000187;;0,000187;0;-0,000187
104;5.001.060;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=85268 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,00106;5,00106;0;;-1,7E-05;1,7E-05;3,4E-05
105;5.001.060;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=86680 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,00106;5,001077;1,7E-05;;-1,1E-05;2,8E-05;3,9E-05
106;5.001.077;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=828 Ack=88092 Win=3088 Len=0;;;5,001077;5,001105;2,8E-05;;2,8E-05;0;-2,8E-05
107;5.001.105;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=88092 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,001105;5,001105;0;;-1,2E-05;1,2E-05;2,4E-05
108;5.001.105;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=89504 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,001105;5,001117;1,2E-05;;-0,000596;0,000608;0,001204
109;5.001.117;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=828 Ack=90916 Win=3088 Len=0;;;5,001117;5,001725;0,000608;;0,000608;0;-0,000608
110;5.001.725;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=90916 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,001725;5,001725;0;;0;0;0
111;5.001.725;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=92328 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,001725;5,001725;0;;0;0;0
112;5.001.725;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=93740 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,001725;5,001725;0;;-2,1E-05;2,1E-05;4,2E-05
113;5.001.725;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=95152 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,001725;5,001746;2,1E-05;;-0,000306;0,000327;0,000633
114;5.001.746;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=828 Ack=96564 Win=3088 Len=0;;;5,001746;5,002073;0,000327;;0,000327;0;-0,000327
115;5.002.073;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.2;1486;Application Data [TCP segment of a reassembled PDU];;;5,002073;5,002073;0;;0;0;0
116;5.002.073;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=97976 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,002073;5,002073;0;;0;0;0
117;5.002.073;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=99388 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,002073;5,002073;0;;-2,1E-05;2,1E-05;4,2E-05
118;5.002.073;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=100800 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,002073;5,002094;2,1E-05;;-9,8E-05;0,000119;0,000217
119;5.002.094;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=828 Ack=102212 Win=3088 Len=0;;;5,002094;5,002213;0,000119;;0,000119;0;-0,000119
120;5.002.213;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=102212 Ack=828 Win=377 Len=1412 [TCP segment of a reassembled PDU];;;5,002213;5,002213;0;;-1,7E-05;1,7E-05;3,4E-05
